Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 4,MN115
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 3,MN21
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN211
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN212
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 4,MN213
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 1,OO
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 3,OO21
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
